FID;date;species;n;X;Y
288;17-9-2012 0:00:00;Clupea harengus;5;27485.400000000001000;411250.000000000000000
289;17-9-2012 0:00:00;Clupea harengus;3;35350.500000000000000;421547.000000000000000
290;17-9-2012 0:00:00;Clupea harengus;5;37022.199999999997000;424367.000000000000000
291;17-9-2012 0:00:00;Clupea harengus;3;37852.099999999999000;422818.000000000000000
292;18-9-2012 0:00:00;Clupea harengus;4;25357.700000000001000;406628.000000000000000
293;18-9-2012 0:00:00;Clupea harengus;5;26633.099999999999000;409737.000000000000000
294;18-9-2012 0:00:00;Clupea harengus;5;28093.700000000001000;407324.000000000000000
295;6-5-2013 0:00:00;Clupea harengus;1;50272.500000000000000;437283.000000000000000
296;6-5-2013 0:00:00;Clupea harengus;4;55952.900000000001000;433940.000000000000000
297;6-5-2013 0:00:00;Clupea harengus;7;56134.199999999997000;432657.000000000000000
298;6-5-2013 0:00:00;Clupea harengus;16;57849.699999999997000;430189.000000000000000
299;7-5-2013 0:00:00;Clupea harengus;5;46620.099999999999000;426973.000000000000000
300;7-5-2013 0:00:00;Clupea harengus;4;52056.199999999997000;433091.000000000000000
301;7-5-2013 0:00:00;Clupea harengus;7;52653.599999999999000;432560.000000000000000
302;7-5-2013 0:00:00;Clupea harengus;1;53285.099999999999000;435941.000000000000000
303;7-5-2013 0:00:00;Clupea harengus;5;53380.900000000001000;435030.000000000000000
304;7-5-2013 0:00:00;Clupea harengus;9;53952.099999999999000;430344.000000000000000
305;7-5-2013 0:00:00;Clupea harengus;35;55103.400000000001000;434572.000000000000000
306;13-5-2013 0:00:00;Clupea harengus;18;53321.599999999999000;429837.000000000000000
307;13-5-2013 0:00:00;Clupea harengus;7;55050.500000000000000;428987.000000000000000
308;13-5-2013 0:00:00;Clupea harengus;27;56165.000000000000000;429577.000000000000000
309;13-5-2013 0:00:00;Clupea harengus;8;60965.400000000001000;434993.000000000000000
310;14-5-2013 0:00:00;Clupea harengus;3;36960.300000000003000;421943.000000000000000
311;14-5-2013 0:00:00;Clupea harengus;5;42390.400000000001000;424433.000000000000000
312;14-5-2013 0:00:00;Clupea harengus;5;47722.800000000003000;424261.000000000000000
313;15-5-2013 0:00:00;Clupea harengus;5;25299.799999999999000;406610.000000000000000
314;15-5-2013 0:00:00;Clupea harengus;1;26195.000000000000000;410928.000000000000000
315;15-5-2013 0:00:00;Clupea harengus;3;26476.299999999999000;410643.000000000000000
316;15-5-2013 0:00:00;Clupea harengus;2;26707.700000000001000;409784.000000000000000
317;15-5-2013 0:00:00;Clupea harengus;6;27835.599999999999000;402799.000000000000000
318;15-5-2013 0:00:00;Clupea harengus;5;33628.400000000001000;408314.000000000000000
319;16-5-2013 0:00:00;Clupea harengus;3;28110.500000000000000;407300.000000000000000
320;16-5-2013 0:00:00;Clupea harengus;4;35899.500000000000000;406804.000000000000000
321;17-5-2013 0:00:00;Clupea harengus;17;36223.599999999999000;408271.000000000000000
322;21-5-2013 0:00:00;Clupea harengus;3;27772.900000000001000;403060.000000000000000
